,course_name,skill_label
156,DIN 5008 - Geschäftsbrief und E-Mail ,Öffentlichkeitsarbeit
157,DIN 5008 - Geschäftsbrief und E-Mail ,Personalwesen
158,DIN 5008 - Geschäftsbrief und E-Mail ,Öffentlichkeitsarbeit
159,Effektives Marketing - mit der passenden Strategie mehr erreichen ,Marketingmix
160,Effektives Marketing - mit der passenden Strategie mehr erreichen ,andere führen
161,Effektives Marketing - mit der passenden Strategie mehr erreichen ,sich selbst darstellen
162,Effektives Marketing - mit der passenden Strategie mehr erreichen ,Marken
163,Effektives Marketing - mit der passenden Strategie mehr erreichen ,Marketingmix
164,Effektives Marketing - mit der passenden Strategie mehr erreichen ,andere führen
165,Effektives Marketing - mit der passenden Strategie mehr erreichen ,sich selbst darstellen
166,Effektives Marketing - mit der passenden Strategie mehr erreichen ,Marken
167,Einführungsseminar Industriemeister/in Fachrichtung Metall/Elektro/Logistik,Logistik
168,Einführungsseminar Industriemeister/in Fachrichtung Metall/Elektro/Logistik,Mathematik
169,Einführungsseminar Industriemeister/in Fachrichtung Metall/Elektro/Logistik,Chemie
170,Einführungsseminar Industriemeister/in Fachrichtung Metall/Elektro/Logistik,Physik
171,Einführungsseminar Industriemeister/in Fachrichtung Metall/Elektro/Logistik,andere führen
172,Erfolgreiche Integration von neuen Mitarbeitern ,Mathematik
173,Erfolgreiche Integration von neuen Mitarbeitern ,Physik
174,Erfolgreiche Integration von neuen Mitarbeitern ,Chemie
175,Erfolgreiche Integration von neuen Mitarbeitern ,selbstständig arbeiten
176,Erfolgreiche Integration von neuen Mitarbeitern ,andere motivieren
177,Erfolgreiche Integration von neuen Mitarbeitern ,selbstständig arbeiten
178,Erfolgreiche Integration von neuen Mitarbeitern ,andere motivieren
179,Excel Basiswissen,andere führen
180,Excel Basiswissen,andere führen
181,Fachkraft Detektiv (IHK),Psychologie
182,Fachkraft Detektiv (IHK),Talente erkennen
183,Fachkraft Detektiv (IHK),Kriminologie
184,Fachkraft für Personalberatung und Personalvermittlung (IHK),Qualitätsstandards
185,Fachkraft für Personalberatung und Personalvermittlung (IHK),Arbeitsmarkt
186,Fachkundenachweises nach AbfAEV und EfbV inkl. AbfBeauftrV - Einführungsseminar,Kreislaufwirtschaft
187,Firmentexte ganz einfach schreiben ,Texte verfassen
188,Firmentexte ganz einfach schreiben ,andere führen
189,Firmentexte ganz einfach schreiben ,Texte verfassen
190,Firmentexte ganz einfach schreiben ,andere führen
191,Fit für das Gastrogeschäft (IHK),Allergien
192,Fit für das Gastrogeschäft (IHK),Allergien
193,"Fit für die IHK-Abschlussprüfung ""Allgemeine Betriebswirtschaftslehre""",Jahresabschluss
194,"Fit für die IHK-Abschlussprüfung ""Allgemeine Betriebswirtschaftslehre""",Statistik
195,"Fit für die IHK-Abschlussprüfung ""Allgemeine Betriebswirtschaftslehre""",Jahresabschluss
196,"Fit für die IHK-Abschlussprüfung ""Allgemeine Betriebswirtschaftslehre""",Statistik
197,Führungstraining (IHK) IHK-Zertifikatslehrgang,andere führen
198,Führungstraining (IHK) IHK-Zertifikatslehrgang,Kommunikation
199,Führungstraining (IHK) IHK-Zertifikatslehrgang,Konfliktmanagement
200,Führungstraining (IHK) IHK-Zertifikatslehrgang,Rhetorik
201,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),andere führen
202,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),sich selbst darstellen
203,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),Finanzmanagement
204,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),Kontrollsysteme
205,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),Kommunikation
206,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),andere führen
207,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),sich selbst darstellen
208,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),Finanzmanagement
209,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),Kontrollsysteme
210,Geprüfte Bilanzbuchhalterin/ Geprüfter Bilanzbuchhalter (VO 2020),Kommunikation
211,Geprüfte Industriefachwirtin / Geprüfter Industriefachwirt,Bekleidungsindustrie
212,Geprüfte Industriefachwirtin / Geprüfter Industriefachwirt,Finanzmanagement
213,Geprüfte Industriefachwirtin / Geprüfter Industriefachwirt,Bekleidungsindustrie
214,Geprüfte Industriefachwirtin / Geprüfter Industriefachwirt,Finanzmanagement
215,Geprüfte Industriemeisterin/ Geprüfter Industriemeister - Fachrichtung Elektro/Logistik - Teil 1 Basisqualifikation,Logistik
216,Geprüfte Industriemeisterin/ Geprüfter Industriemeister - Fachrichtung Elektro/Logistik - Teil 1 Basisqualifikation,Personalmanagement
217,Geprüfte Industriemeisterin/ Geprüfter Industriemeister - Fachrichtung Elektro/Logistik - Teil 1 Basisqualifikation,Kommunikation
218,Geprüfte Industriemeisterin/ Geprüfter Industriemeister - Fachrichtung Metall,Personalmanagement
219,Geprüfte Industriemeisterin/ Geprüfter Industriemeister - Fachrichtung Metall,Kommunikation
220,Geprüfte Küchenmeisterin/ Geprüfter Küchenmeister,R
221,Geprüfte Küchenmeisterin/ Geprüfter Küchenmeister,planen
222,Geprüfte Küchenmeisterin/ Geprüfter Küchenmeister,Volkswirtschaftslehre
223,Geprüfte Küchenmeisterin/ Geprüfter Küchenmeister,R
224,Geprüfte Küchenmeisterin/ Geprüfter Küchenmeister,planen
225,Geprüfte Küchenmeisterin/ Geprüfter Küchenmeister,Volkswirtschaftslehre
226,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,Getränke
227,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,planen
228,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,andere beraten
229,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,Volkswirtschaftslehre
230,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,Getränke
231,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,planen
232,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,andere beraten
233,Geprüfte Restaurantmeisterin/ Geprüfter Restaurantmeister ,Volkswirtschaftslehre
234,Geprüfte Wirtschaftsfachwirtin / Geprüfter Wirtschaftsfachwirt,Geschäftsprozesse
235,Geprüfte Wirtschaftsfachwirtin / Geprüfter Wirtschaftsfachwirt,planen
236,Geprüfte Wirtschaftsfachwirtin / Geprüfter Wirtschaftsfachwirt,Kommunikation
237,Geprüfte Wirtschaftsfachwirtin / Geprüfter Wirtschaftsfachwirt,Logistik
238,Geprüfte Wirtschaftsfachwirtin / Geprüfter Wirtschaftsfachwirt,Geschäftsprozesse
239,Geprüfte Wirtschaftsfachwirtin / Geprüfter Wirtschaftsfachwirt,planen
